,Fecha,TERMICA,Volume in Energy,ONI Anomaly,AporEnergia,PorcVoluUtilDiario
127,2023-08-31,1590.72862018,461127.68090000004,2.0,5710.0329,0.8182619354838709
128,2023-09-30,2416.24232459,413786.0928,2.1,3559.3257,0.7741733333333334
129,2023-10-31,2626.32667654,394433.1828,2.15,4634.2359,0.7244674193548387
130,2023-11-30,1633.79206769,391898.78,2.1,6149.4637999999995,0.7528063333333334
131,2023-12-31,2453.74369311,387146.8494,2.02,3644.9854,0.7194351612903226
132,2024-01-31,2075.58812921,342584.0649,1.85,2323.2661,0.6366235483870968
133,2024-02-29,2095.9675361,252610.5274,1.52,2325.714,0.5017865517241379
134,2024-03-31,2847.23263345,197986.7649,0.83,2178.5854,0.3679051612903226
135,2024-04-30,3190.09459968,159696.1704,0.5,3988.9696,0.3066433333333334
136,2024-05-31,1115.83750104,204915.4209,-0.19,8732.2338,0.3807796774193548
137,2024-06-30,1092.75809192,268017.5722,-0.27,9868.2263,0.5146396666666667
138,2024-07-31,1133.80442598,319213.7816,-0.14,7271.7952000000005,0.5931732258064517
139,2024-08-31,1609.97628418,308460.0627,-0.29,4518.1911,0.5732287096774193
140,2024-09-30,2266.7532405,268640.8162,-0.2,3701.5672999999997,0.5158686666666666
141,2024-10-31,2827.77463135,285567.9991,-0.16,4793.2528,0.5306796774193548
142,2024-11-30,1904.16519498,322718.3911,-0.16,7397.2289,0.6263850000000001
143,2024-12-31,2344.33938469,353350.4603,-0.39,4548.1427,0.6639174193548387
144,2025-01-31,1544.11304,349908.3897,-0.29,4079.0868,0.6574496774193548
145,2025-02-28,1145.7576,273337.141,0.02,4677.9517,0.5681992857142857
146,2025-03-31,826.4529,274870.7283,0.45,6345.8715,0.5159025806451613
147,2025-04-30,760.48381,276569.1365,0.05,9712.350699999999,0.5364186666666666
148,2025-05-31,717.301294,359634.6004,-0.14,12541.1644,0.6752019354838709
